SKU,NAME,CASE QTY,PRICE EACH,PRICE BREAK 1,PRICE BREAK 2,PRICE BREAK 3,PRICE BREAK 4,PRICE BREAK 5,CATALOG,PAGES,PREVIOUS PRICE,PREVIOUS PRICE BREAK 1,PREVIOUS PRICE BREAK 2,PREVIOUS PRICE BREAK 3,PREVIOUS PRICE BREAK 4,PREVIOUS PRICE BREAK 5,LAST PRICE CHANGE DATE,Verification_Status,Product_Category,Related_SKU_Prefix
GFT1230SET1,"4"" x 4"" Square Laserable Leatherette Bottle Opener Coaster Sample Set",0,12.6,12.6,12.6,12.6,0,0,CATALOG24,101        ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Sample Set,GFT
GFT1230SET2,"4"" x 4"" Laserable Leatherette Bottle Opener Coaster Sample Set",0,20.15,20.15,0,0,0,0,CATALOG24,119        ,19.36,19.36,0,0,0,0,07/21/2025,Confirmed,Sample Set,GFT
GFT1235,"4"" x 4"" Square Light Brown Laserable Leatherette Bottle Opener Coaster",6,2.6,2.1,1.98,1.83,0,0,CATALOG24,119        ,2.5,2,1.9,1.76,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1236,"4"" x 4"" Square Dark Brown Laserable Leatherette Bottle Opener Coaster",6,2.6,2.1,1.98,1.83,0,0,CATALOG24,119        ,2.5,2,1.9,1.76,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1237,"4"" x 4"" Square Black/Gold Laserable Leatherette Bottle Opener Coaster",6,2.6,2.1,1.98,1.83,0,0,CATALOG24,119        ,2.5,2,1.9,1.76,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1238,"4"" x 4"" Square Rawhide Laserable Leatherette Bottle Opener Coaster",6,2.6,2.1,1.98,1.83,0,0,CATALOG24,119        ,2.5,2,1.9,1.76,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1239,"4"" x 4"" Square Gray Laserable Leatherette Bottle Opener Coaster",6,2.6,2.1,1.98,1.83,0,0,CATALOG24,119        ,2.5,2,1.9,1.76,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1240,"4"" x 4"" Square Black/Silver Laserable Leatherette Coaster with Bottle Opener",6,2.6,2.1,1.98,1.83,0,0,CATALOG24,119        ,2.5,2,1.9,1.76,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1241,"4"" x 4"" Square Blue/Silver Laserable Leatherette Coaster with Bottle Opener",6,2.6,2.1,1.98,1.83,0,0,CATALOG24,119        ,2.5,2,1.9,1.76,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1242,"4"" x 4"" Square Bamboo Laserable Leatherette Coaster with Bottle Opener",6,2.6,2.1,1.98,1.83,0,0,CATALOG24,119        ,2.5,2,1.9,1.76,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1243,"4"" x 4"" Square Red Laserable Leatherette Bottle Opener Coaster",6,2.6,2.1,1.98,1.83,0,0,CATALOG24,119        ,2.5,2,1.9,1.76,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1244,"4"" x 4"" Square White Laserable Leatherette Bottle Opener Coaster",6,2.6,2.1,1.98,1.83,0,0,CATALOG24,119        ,2.5,2,1.9,1.76,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1245,"4"" x 4"" Square Purple Laserable Leatherette Bottle Opener Coaster",6,2.6,2.1,1.98,1.83,0,0,CATALOG24,119        ,2.5,2,1.9,1.76,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1246,"4"" x 4"" Square Football Laserable Leatherette Bottle Opener Coaster",6,2.75,2.25,2.1,1.98,0,0,CATALOG24,24         ,2.65,2.15,2,1.9,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1247,"4"" x 4"" Square Basketball Laserable Leatherette Bottle Opener Coaster",6,2.75,2.25,2.1,1.98,0,0,CATALOG24,26         ,2.65,2.15,2,1.9,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1310,"4"" x 4"" Square White Laserable Leatherette Coaster",6,1.51,1.1,1.05,1,0,0,CATALOG24,122        ,1.45,1.06,1.01,0.96,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1311,"4"" x 4"" Square Purple Laserable Leatherette Coaster",6,1.51,1.1,1.05,1,0,0,CATALOG24,122        ,1.45,1.06,1.01,0.96,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1312,"4"" x 4"" Square Football Laserable Leatherette Coaster",6,1.57,1.14,1.1,1.05,0,0,CATALOG24,24         ,1.51,1.1,1.06,1.01,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1313,"4"" x 4"" Square Basketball Laserable Leatherette Coaster",6,1.57,1.14,1.1,1.05,0,0,CATALOG24,26         ,1.51,1.1,1.06,1.01,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1315,"4"" Round White Laserable Leatherette Coaster",6,1.51,1.1,1.05,1,0,0,CATALOG24,122        ,1.45,1.06,1.01,0.96,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1316,"4"" Round Purple Laserable Leatherette Coaster",6,1.51,1.1,1.05,1,0,0,CATALOG24,122        ,1.45,1.06,1.01,0.96,0,0,07/21/2025,Confirmed,Accessory,GFT
