SKU,NAME,CASE QTY,PRICE EACH,PRICE BREAK 1,PRICE BREAK 2,PRICE BREAK 3,PRICE BREAK 4,PRICE BREAK 5,CATALOG,PAGES,PREVIOUS PRICE,PREVIOUS PRICE BREAK 1,PREVIOUS PRICE BREAK 2,PREVIOUS PRICE BREAK 3,PREVIOUS PRICE BREAK 4,PREVIOUS PRICE BREAK 5,LAST PRICE CHANGE DATE,Verification_Status,Product_Category,Related_SKU_Prefix
FSK01,Rosewood Finish Flask Set,6,25.9,22.4,21.35,20.3,0,0,CATALOG24,102        ,24,20.75,19.75,18.8,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK101,1 oz. Stainless Steel Flask Keychain,20,3.55,2.85,2.75,2.55,0,0,CATALOG24,100        ,3.4,2.7,2.6,2.45,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK102,1 oz. Matte Black Flask Keychain,20,3.55,2.85,2.75,2.55,0,0,CATALOG24,100        ,3.4,2.7,2.6,2.45,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK103,1 oz. Gloss Red Flask Keychain,20,3.55,2.85,2.75,2.55,0,0,CATALOG24,100        ,3.4,2.7,2.6,2.45,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK104,1 oz. Gloss Blue Flask Keychain,20,3.55,2.85,2.75,2.55,0,0,CATALOG24,100        ,3.4,2.7,2.6,2.45,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK11,6 oz. Stainless Steel Flask Set in Wood Presentation Box,6,19.2,16.6,15.85,15.25,0,0,CATALOG24,102        ,18.3,15.8,15.1,14.5,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK111,1 oz. Matte Pink Flask Keychain,20,3.55,2.85,2.75,2.55,0,0,CATALOG24,100        ,3.4,2.7,2.6,2.45,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK12,6 oz. Matte Black Laserable Stainless Steel Flask Set in Wood Presentation Box,6,19.85,17.2,16.6,15.85,0,0,CATALOG24,102        ,18.9,16.4,15.8,15.1,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK301,6 oz. Light Brown Laserable Leatherette Flask Gift Set,6,12.5,10.95,10.45,9.95,0,0,CATALOG24,79         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,FSK
FSK302,6 oz. Dark Brown Laserable Leatherette Flask Gift Set,6,18.3,15.65,15,14.35,0,0,CATALOG24,97         ,17.6,15.05,14.4,13.8,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK303,6 oz. Black/Gold Laserable Leatherette Flask Gift Set,6,18.3,15.65,15,14.35,0,0,CATALOG24,97         ,17.6,15.05,14.4,13.8,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK304,6 oz. Rawhide Laserable Leatherette Flask Gift Set,6,18.3,15.65,15,14.35,0,0,CATALOG24,97         ,17.6,15.05,14.4,13.8,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK305,6 oz. Gray Laserable Leatherette Flask Gift Set,6,18.3,15.65,15,14.35,0,0,CATALOG24,97         ,17.6,15.05,14.4,13.8,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK308,6 oz. Pink Laserable Leatherette Flask Gift Set,6,18.3,15.65,15,14.35,0,0,CATALOG24,97         ,17.6,15.05,14.4,13.8,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK309,6 oz. Black/Silver Laserable Leatherette Flask Gift Set,6,18.3,15.65,15,14.35,0,0,CATALOG24,97         ,17.6,15.05,14.4,13.8,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK310,6 oz. Rustic/Gold Laserable Leatherette Flask Gift Set,6,18.3,15.65,15,14.35,0,0,CATALOG24,99         ,17.6,15.05,14.4,13.8,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK311,6 oz. Stainless Steel Flask Set in Black/Silver Laserable Leatherette Box,6,17.75,15.1,14.4,13.8,0,0,CATALOG24,99         ,17.05,14.5,13.85,13.25,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK312,6 oz. Black Stainless Steel Flask Set in Black/Silver Laserable Leatherette Box,6,18.05,15.4,14.7,14.1,0,0,CATALOG24,99         ,17.35,14.8,14.15,13.55,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK313,6 oz. Cork Flask Gift Set,6,12.5,10.95,10.45,9.95,0,0,CATALOG24,80         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,FSK
FSK316,6 oz. Bamboo Laserable Leatherette Flask Gift Set,6,13.95,11.95,11.45,10.95,0,0,CATALOG24,99         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,FSK
FSK319,6 oz. White Laserable Leatherette Flask Gift Set,6,18.3,15.65,15,14.35,0,0,CATALOG24,99         ,17.6,15.05,14.4,13.8,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK320,6 oz. Purple Laserable Leatherette Flask Gift Set,6,18.3,15.65,15,14.35,0,0,CATALOG24,99         ,17.6,15.05,14.4,13.8,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK321,6 oz. Football Laserable Leatherette Flask Gift Set,6,18.95,16.3,15.65,15,0,0,CATALOG24,23         ,18.2,15.65,15.05,14.4,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK322,6 oz. Basketball Laserable Leatherette Flask Gift Set,6,18.95,16.3,15.65,15,0,0,CATALOG24,25         ,18.2,15.65,15.05,14.4,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK502,6 oz. Matte Black Powder Coated Laserable Stainless Steel Flask,10,5.4,4.3,4.1,3.9,0,0,CATALOG24,95         ,5.15,4.1,3.9,3.7,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK503,6 oz. Matte Red Powder Coated Laserable Stainless Steel Flask,10,5.4,4.3,4.1,3.9,0,0,CATALOG24,95         ,5.15,4.1,3.9,3.7,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK504,6 oz. Matte Royal Blue Powder Coated Laserable Stainless Steel Flask,10,5.4,4.3,4.1,3.9,0,0,CATALOG24,95         ,5.15,4.1,3.9,3.7,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK505,6 oz. Matte Pink Powder Coated Laserable Stainless Steel Flask,10,5.4,4.3,4.1,3.9,0,0,CATALOG24,95         ,5.15,4.1,3.9,3.7,0,0,07/21/2025,Confirmed,Main Product,FSK
FSK506,6 oz. Matte Teal Powder Coated Laserable Stainless Steel Flask,10,5.4,4.3,4.1,3.9,0,0,CATALOG24,95         ,5.15,4.1,3.9,3.7,0,0,07/21/2025,Confirmed,Main Product,FSK
