SKU,NAME,CASE QTY,PRICE EACH,PRICE BREAK 1,PRICE BREAK 2,PRICE BREAK 3,PRICE BREAK 4,PRICE BREAK 5,CATALOG,PAGES,PREVIOUS PRICE,PREVIOUS PRICE BREAK 1,PREVIOUS PRICE BREAK 2,PREVIOUS PRICE BREAK 3,PREVIOUS PRICE BREAK 4,PREVIOUS PRICE BREAK 5,LAST PRICE CHANGE DATE,Verification_Status,Product_Category,Related_SKU_Prefix
FSK651SETA,6 oz. Stainless Steel Flask Set in Black Presentation Box,1,8.1,8.1,7.65,7.3,0,0,CATALOG24,101        ,7.7,7.7,7.3,6.95,0,0,07/21/2025,Confirmed,Sample Set,FSK
FSK652SETA,6 oz. Matte Black Flask Set in Black Presentation Box,1,8.7,8.7,8.25,7.9,0,0,CATALOG24,101        ,8.3,8.3,7.85,7.5,0,0,07/21/2025,Confirmed,Sample Set,FSK
FSK655SETA,6 oz. Leather Flask Set in Black Presentation Box,1,6.75,6.75,6.45,6.15,0,0,CATALOG24,101        ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Sample Set,FSK
FSK661SETA,6 oz. Matte Pink Flask Set in Black Presentation Box,1,8.7,8.7,8.25,7.9,0,0,CATALOG24,101        ,8.3,8.3,7.85,7.5,0,0,07/21/2025,Confirmed,Sample Set,FSK
FSK671SET,6 oz. Stainless Steel Flask Set in Black Presentation Box,1,5.7,5.7,5.45,5.25,0,0,CATALOG24,102        ,5.45,5.45,5.2,5,0,0,07/21/2025,Confirmed,Sample Set,FSK
FSK672SET,6 oz. Matte Black Flask Set in Black Presentation Box,1,6.2,6.2,5.9,5.6,0,0,CATALOG24,102        ,5.9,5.9,5.6,5.35,0,0,07/21/2025,Confirmed,Sample Set,FSK
FSK675SET,6 oz. Leather Flask Set in Black Presentation Box,1,6.4,6.4,6.2,5.9,0,0,CATALOG24,102        ,6.1,6.1,5.9,5.6,0,0,07/21/2025,Confirmed,Sample Set,FSK
FSKSET2C,6 oz. Flask Sample Set,0,14.8,14.8,14.8,14.8,0,0,CATALOG24,98         ,14.1,14.1,14.1,14.1,0,0,07/21/2025,Confirmed,Sample Set,FSK
FSKSET3,Laserable Flask Keychain Sample Set,0,12.85,12.85,12.85,12.85,0,0,CATALOG24,100        ,12.25,12.25,12.25,12.25,0,0,07/21/2025,Confirmed,Sample Set,FSK
FSKSET4A,Laserable Flask Gift Set Sample Set,1,26.95,26.95,26.95,26.95,0,0,CATALOG24,101        ,22.45,22.45,22.45,22.45,0,0,04/18/2025,Confirmed,Sample Set,FSK
FSKSET4B,Laserable Flask Gift Set Sample Set,1,23.05,23.05,0,0,0,0,CATALOG24,101        ,21.95,21.95,0,0,0,0,07/21/2025,Confirmed,Sample Set,FSK
FSKSET6K,6 oz. Laserable Leatherette Flask Sample Set,0,78.65,78.65,78.65,78.65,0,0,Coming Soon,0,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Sample Set,FSK
FSKSET8,6 oz. Powder Coated Laserable Stainless Steel Flask Sample Set,0,38.85,38.85,38.85,38.85,0,0,CATALOG24,95         ,37,37,37,37,0,0,07/21/2025,Confirmed,Sample Set,FSK
