SKU,NAME,CASE QTY,PRICE EACH,PRICE BREAK 1,PRICE BREAK 2,PRICE BREAK 3,PRICE BREAK 4,PRICE BREAK 5,CATALOG,PAGES,PREVIOUS PRICE,PREVIOUS PRICE BREAK 1,PREVIOUS PRICE BREAK 2,PREVIOUS PRICE BREAK 3,PREVIOUS PRICE BREAK 4,PREVIOUS PRICE BREAK 5,LAST PRICE CHANGE DATE,Verification_Status,Product_Category,Related_SKU_Prefix
LBH21,Polar Camel Stainless Steel Vacuum Insulated Beverage Holder,24,8.25,6.65,6.4,6.2,0,0,CATALOG24,69         ,7.85,6.35,6.1,5.9,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH22,Polar Camel Black Stainless Steel Vacuum Insulated Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,69         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH23,Polar Camel Red Stainless Steel Vacuum Insulated Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,69         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH24,Polar Camel Royal Blue Stainless Steel Vacuum Insulated Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,69         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH25,Polar Camel Pink Stainless Steel Vacuum Insulated Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,69         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH26,Polar Camel Teal Stainless Steel Vacuum Insulated Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,69         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH27,Polar Camel Light Blue Stainless Steel Vacuum Insulated Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,69         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH28,Polar Camel Light Purple Stainless Steel Vacuum Insulated Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,69         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH29,Polar Camel Purple Stainless Steel Vacuum Insulated Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,69         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH30,Polar Camel Dark Gray Stainless Steel Vacuum Insulated Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,70         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH31,Polar Camel Navy Blue Stainless Steel Vacuum Insulated Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,70         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH32,Polar Camel Orange Stainless Steel Vacuum Insulated Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,70         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH33,Polar Camel Maroon Stainless Steel Vacuum Insulated Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,70         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH34,Polar Camel White Stainless Steel Vacuum Insulated Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,70         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH35,Polar Camel Green Stainless Steel Vacuum Insulated Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,70         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH36,Polar Camel Yellow Stainless Steel Vacuum Insulated Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,70         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH37,Polar Camel Coral Stainless Steel Vacuum Insulated Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,70         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH38,Polar Camel Olive Green Stainless Steel Vacuum Insulated Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,70         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH52,Polar Camel Black Slim Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,67         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH53,Polar Camel Red Slim Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,67         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH54,Polar Camel Royal Blue Slim Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,67         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH55,Polar Camel Pink Slim Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,67         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH56,Polar Camel Teal Slim Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,67         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH57,Polar Camel Light Blue Slim Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,67         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH58,Polar Camel Light Purple Slim Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,67         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH59,Polar Camel Purple Slim Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,67         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH60,Polar Camel Dark Gray Slim Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,67         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH61,Polar Camel Navy Blue Slim Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,67         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH62,Polar Camel Orange Slim Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,67         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH63,Polar Camel Maroon Slim Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,67         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH64,Polar Camel White Slim Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,68         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH65,Polar Camel Green Slim Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,68         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH66,Polar Camel Yellow Slim Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,68         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH67,Polar Camel Coral Slim Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,68         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
LBH68,Polar Camel Olive Green Slim Beverage Holder,24,8.85,7.3,7.05,6.85,0,0,CATALOG24,68         ,8.45,6.95,6.7,6.5,0,0,07/21/2025,Confirmed,Main Product,LBH
