SKU,NAME,CASE QTY,PRICE EACH,PRICE BREAK 1,PRICE BREAK 2,PRICE BREAK 3,PRICE BREAK 4,PRICE BREAK 5,CATALOG,PAGES,PREVIOUS PRICE,PREVIOUS PRICE BREAK 1,PREVIOUS PRICE BREAK 2,PREVIOUS PRICE BREAK 3,PREVIOUS PRICE BREAK 4,PREVIOUS PRICE BREAK 5,LAST PRICE CHANGE DATE,Verification_Status,Product_Category,Related_SKU_Prefix
LTM033,15 oz. Bamboo Stainless Steel Tumbler,24,11.75,10.05,9.55,9.1,0,0,CATALOG24,112        ,11.3,9.65,9.2,8.75,0,0,07/21/2025,Confirmed,Main Product,LTM
LTM071,16 oz. Black Laserable Stainless Steel Travel Mug without Handle,24,5.85,4.5,4.25,4.1,0,0,CATALOG24,112        ,5.4,4.15,3.95,3.8,0,0,07/21/2025,Confirmed,Main Product,LTM
LTM072,16 oz. Red Laserable Stainless Steel Travel Mug without Handle,24,5.85,4.5,4.25,4.1,0,0,CATALOG24,112        ,5.4,4.15,3.95,3.8,0,0,07/21/2025,Confirmed,Main Product,LTM
LTM073,16 oz. Blue Laserable Stainless Steel Travel Mug without Handle,24,5.85,4.5,4.25,4.1,0,0,CATALOG24,112        ,5.4,4.15,3.95,3.8,0,0,07/21/2025,Confirmed,Main Product,LTM
LTM076,16 oz. Silver Laserable Stainless Steel Travel Mug without Handle,24,5.85,4.5,4.25,4.1,0,0,CATALOG24,112        ,5.4,4.15,3.95,3.8,0,0,07/21/2025,Confirmed,Main Product,LTM
LTM30H,Handle for the 30 oz. Polar Camel Tumblers,24,2.9,2.05,1.95,1.87,0,0,CATALOG24,50         ,2.75,1.94,1.86,1.78,0,0,07/21/2025,Confirmed,Main Product,LTM
LTM5201,Polar Camel 20 oz. Light Brown Laserable Leatherette Tumbler with Clear Lid,24,14.1,11.75,11.3,10.8,0,0,CATALOG24,71         ,13.55,11.3,10.85,10.4,0,0,07/21/2025,Confirmed,Main Product,LTM
LTM5202,Polar Camel 20 oz. Dark Brown Laserable Leatherette Tumbler with Clear Lid,24,14.1,11.75,11.3,10.8,0,0,CATALOG24,71         ,13.55,11.3,10.85,10.4,0,0,07/21/2025,Confirmed,Main Product,LTM
LTM5203,Polar Camel 20 oz. Black/Silver Laserable Leatherette Tumbler with Clear Lid,24,14.1,11.75,11.3,10.8,0,0,CATALOG24,71         ,13.55,11.3,10.85,10.4,0,0,07/21/2025,Confirmed,Main Product,LTM
LTM5204,Polar Camel 20 oz. Rawhide Laserable Leatherette Tumbler with Clear Lid,24,14.1,11.75,11.3,10.8,0,0,CATALOG24,71         ,13.55,11.3,10.85,10.4,0,0,07/21/2025,Confirmed,Main Product,LTM
LTM5205,Polar Camel 20 oz. Gray Laserable Leatherette Tumbler with Clear Lid,24,14.1,11.75,11.3,10.8,0,0,CATALOG24,71         ,13.55,11.3,10.85,10.4,0,0,07/21/2025,Confirmed,Main Product,LTM
