SKU,NAME,CASE QTY,PRICE EACH,PRICE BREAK 1,PRICE BREAK 2,PRICE BREAK 3,PRICE BREAK 4,PRICE BREAK 5,CATALOG,PAGES,PREVIOUS PRICE,PREVIOUS PRICE BREAK 1,PREVIOUS PRICE BREAK 2,PREVIOUS PRICE BREAK 3,PREVIOUS PRICE BREAK 4,PREVIOUS PRICE BREAK 5,LAST PRICE CHANGE DATE,Verification_Status,Product_Category,Related_SKU_Prefix
LTM5200SET3,Polar Camel 20 oz. Laserable Leatherette Tumbler with Clear Lid Sample Set,0,140.5,140.5,0,0,0,0,CATALOG24,71         ,135.2,135.2,0,0,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM5250SET,Polar Camel 20 oz. Black Leatherette Tumbler with Slider Lid Sample Set,1,69,69,0,0,0,0,CATALOG24,0          ,66.3,66.3,0,0,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM5400SET,Polar Camel 20 oz. Silicone Grip Tumbler Sample Set,0,69.75,69.75,69.75,69.75,0,0,CATALOG24,73         ,66.5,66.5,66.5,66.5,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM7000SET,Polar Camel 22 oz. Skinny Tumbler with Slider Lid Sample Set,0,137.75,137.75,0,0,0,0,CATALOG24,0          ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Sample Set,LTM
LTM7000SET2,Polar Camel 22 oz. Skinny Tumbler with Slider Lid Sample Set,0,160,160,170.5,160,0,0,CATALOG24,33         ,152.4,152.4,162.4,152.4,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM7000SET3,"Polar Camel 22 oz. Skinny Tumbler with Slider Lid Ion Plating Sample Set   (Black & White/Ghost Black, Rose Gold, Prism)",0,58.25,58.25,58.25,58.25,0,0,CATALOG24,0          ,55.5,55.5,55.5,55.5,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM7100SET,Polar Camel 10 oz. Vacuum Insulated Ringneck Tumbler with Clear Lid Sample Set,0,59,59,59,59,0,0,CATALOG24,59         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Sample Set,LTM
LTM7100SETA,Polar Camel 10 oz. Vacuum Insulated Ringneck Tumbler with Clear Lid Sample Set,0,62.25,62.25,62.25,62.25,62.25,0,CATALOG24,59         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,07/21/2025,Confirmed,Sample Set,LTM
LTM7100SETB,Polar Camel 10 oz. Vacuum Insulated Ringneck Tumbler with Clear Lid Sample Set,0,46.5,46.5,46.5,46.5,0,0,Coming Soon,0,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Sample Set,LTM
LTM7200SET3,Polar Camel 20 oz. Ringneck Vacuum Insulated Tumbler w/Lid Sample Set,1,144,144,144,144,0,0,CATALOG24,45         ,137.15,137.15,137.15,137.15,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM7200SET4,"Polar Camel 20 oz. Ringneck ION-Plated Sample Set (Black & White/Ghost Black, Rose Gold, Prism)",0,53.5,53.5,0,0,0,0,CATALOG24,0          ,51,51,0,0,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM7200SET5,Polar Camel 20 oz. Bright Gold ION-Plated Tumbler with Slider Lid Sample   Set,0,53.5,53.5,0,0,0,0,Coming Soon,0,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,07/21/2025,Confirmed,Sample Set,LTM
LTM7250SET,Polar Camel 20 oz. Vacuum Insulated Ringneck Tumbler with Slider Lid SampleSet,0,155,155,155,155,0,0,CATALOG24,47         ,147.55,147.55,147.55,147.55,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM7300SET3,Polar Camel 30 oz. Vacuum Insulated Ringneck Tumbler with Clear Lid Sample Set,1,167,167,167,167,0,0,CATALOG24,49         ,159,159,159,159,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM7350SET,Polar Camel 30 oz. Insulated Ringneck Tumbler with Slider Lid Sample Set,0,177,177,177,177,0,0,CATALOG24,51         ,168.5,168.5,168.5,168.5,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM7375SET,Polar Camel 32 oz. Travel Mug with Snap Lid and Straw Sample Set,0,68.75,68.75,0,0,0,0,Coming Soon,0,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Sample Set,LTM
LTM7401SET,Polar Camel 40 oz. Travel Mug with Handle Sample Set,0,133.25,133.25,133.25,133.25,0,0,CATALOG24,51         ,126.8,126.8,126.8,126.8,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM7401SET2,Polar Camel 40 oz. Travel Mug with Handle & Straw Sample Set,0,266.25,266.25,0,0,0,0,CATALOG24,27         ,253.6,253.6,0,0,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM7401SET3,"Polar Camel 40 oz. Travel Mug with Handle, Straw Included Ion Plated Sample Set. (Black & White Ghost Black, Rose Gold, Prism)",0,106.25,106.25,0,0,0,0,CATALOG24,0          ,101.1,101.1,0,0,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM7450SET,Polar Camel 40 oz. Black with  Laserable Leatherette Travel Mug with a Straw Sample Set,0,165.25,165.25,0,0,0,0,CATALOG24,0          ,158.8,158.8,0,0,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM750SET4,Polar Camel 16 oz. Pint Sample Set,0,114.25,114.25,0,0,0,0,Coming Soon,0,108.75,108.75,0,0,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM800SET2,Polar Camel 16 oz. Vacuum Insulated Stemless Tumbler w/Lid Sample Set,0,97.25,97.25,97.25,97.25,0,0,CATALOG24,61         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Sample Set,LTM
LTM800SET3,Polar Camel 16 oz. Vacuum Insulated Stemless Tumbler w/Lid Sample Set,0,87.5,87.5,0,0,0,0,GIFTDRINK25,69         ,83.4,83.4,0,0,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM830SET,Polar Camel 20 oz. Sport Tumbler with Slider Lid Sample Set,0,69,69,0,0,0,0,CATALOG24,0          ,66.3,66.3,0,0,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM850SET2,Polar Camel 12 oz. Vacuum Insulated Stemless Wine Tumbler Sample Set,0,110,110,110,110,0,0,CATALOG24,59         ,104.8,104.8,104.8,104.8,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM850SET3,"Polar Camel 12 oz. Stemless ION-Plated Sample Set (Black & White Ghost Black, Rose Gold, Prism)",0,43.45,43.45,0,0,0,0,CATALOG24,0          ,41.4,41.4,0,0,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM940SET2,14 oz. Polar Camel Pilsner w/Clear Lid Sample Set,0,128.75,128.75,128.75,128.75,0,0,CATALOG24,53         ,122.65,122.65,122.65,122.65,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTM970SET2,Polar Camel 20 oz. Pilsner with Clear Lid Sample Set,0,151,151,151,151,0,0,CATALOG24,55         ,143.9,143.9,143.9,143.9,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTMSET10,Polar Camel 20 oz. Pastel/Ghost Black Ringneck Tumbler with Slider Lid Sample Set,0,35.7,35.7,0,0,0,0,CATALOG24,0          ,34,34,0,0,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTMSET11,Polar Camel Black/Ghost Black Sample Set,0,55.5,55.5,0,0,0,0,CATALOG24,0          ,52.85,52.85,0,0,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTMSET12,Polar Camel White/Ghost Black Sample Set,0,55.5,55.5,0,0,0,0,CATALOG24,0          ,52.85,52.85,0,0,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTMSET13,Polar Camel Black/Rose Gold Sample Set,0,55.5,55.5,0,0,0,0,CATALOG24,0          ,52.85,52.85,0,0,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTMSET14,Polar Camel White/Rose Gold Sample Set,0,55.5,55.5,0,0,0,0,CATALOG24,0          ,52.85,52.85,0,0,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTMSET15,Polar Camel Black/Prism Sample Set,0,55.5,55.5,0,0,0,0,CATALOG24,0          ,52.85,52.85,0,0,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTMSET16,Polar Camel White/Prism Sample Set,0,55.5,55.5,0,0,0,0,CATALOG24,0          ,52.85,52.85,0,0,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTMSET7A,Laserable Travel Mug without Handle Blank Sample Set,0,16.4,16.4,16.4,16.4,0,0,Coming Soon,0,15.2,15.2,15.2,15.2,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTMSET7B,Laserable Travel Mug without Handle Blank Sample Set,0,12.3,12.3,12.3,12.3,0,0,Coming Soon,0,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Sample Set,LTM
LTMSET9,Polar Camel 40 oz. Pastel/Ghost Black Travel Mug with Handle & Straw Sample Set,0,70.75,70.75,0,0,0,0,CATALOG24,0          ,67.4,67.4,0,0,0,0,07/21/2025,Confirmed,Sample Set,LTM
LTMSETC,Coral Polar Camel Sample Set,0,55.5,55.5,0,0,0,0,CATALOG24,0          ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Sample Set,LTM
LTMSETY,Yellow Polar Camel Sample Set,0,55.5,55.5,0,0,0,0,CATALOG24,0          ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Sample Set,LTM
