SKU,NAME,CASE QTY,PRICE EACH,PRICE BREAK 1,PRICE BREAK 2,PRICE BREAK 3,PRICE BREAK 4,PRICE BREAK 5,CATALOG,PAGES,PREVIOUS PRICE,PREVIOUS PRICE BREAK 1,PREVIOUS PRICE BREAK 2,PREVIOUS PRICE BREAK 3,PREVIOUS PRICE BREAK 4,PREVIOUS PRICE BREAK 5,LAST PRICE CHANGE DATE,Verification_Status,Product_Category,Related_SKU_Prefix
LWB051,Polar Camel 12 oz. Stainless Steel Water Bottle,24,10.8,9.1,8.7,8.3,0,0,CATALOG24,35         ,10.3,8.65,8.3,7.9,0,0,07/21/2025,Confirmed,Main Product,LWB
LWB052,Polar Camel 12 oz. Black Water Bottle,24,11.55,9.7,9.35,8.95,0,0,CATALOG24,35         ,11,9.25,8.9,8.5,0,0,07/21/2025,Confirmed,Main Product,LWB
LWB053,Polar Camel 12 oz. Red  Water Bottle,24,11.55,9.7,9.35,8.95,0,0,CATALOG24,35         ,11,9.25,8.9,8.5,0,0,07/21/2025,Confirmed,Main Product,LWB
LWB054,Polar Camel 12 oz. Royal Blue Water Bottle,24,11.55,9.7,9.35,8.95,0,0,CATALOG24,35         ,11,9.25,8.9,8.5,0,0,07/21/2025,Confirmed,Main Product,LWB
LWB055,Polar Camel 12 oz. Pink Water Bottle,24,11.55,9.7,9.35,8.95,0,0,CATALOG24,35         ,11,9.25,8.9,8.5,0,0,07/21/2025,Confirmed,Main Product,LWB
LWB056,Polar Camel 12 oz. Teal Water Bottle,24,11.55,9.7,9.35,8.95,0,0,CATALOG24,35         ,11,9.25,8.9,8.5,0,0,07/21/2025,Confirmed,Main Product,LWB
LWB057,Polar Camel 12 oz. Light Blue Water Bottle,24,11.55,9.7,9.35,8.95,0,0,CATALOG24,35         ,11,9.25,8.9,8.5,0,0,07/21/2025,Confirmed,Main Product,LWB
LWB058,Polar Camel 12 oz. Light Purple Water Bottle,24,11.55,9.7,9.35,8.95,0,0,CATALOG24,35         ,11,9.25,8.9,8.5,0,0,07/21/2025,Confirmed,Main Product,LWB
LWB059,Polar Camel 12 oz. Purple Water Bottle,24,11.55,9.7,9.35,8.95,0,0,CATALOG24,36         ,11,9.25,8.9,8.5,0,0,07/21/2025,Confirmed,Main Product,LWB
LWB060,Polar Camel 12 oz. Gray Water Bottle,24,11.55,9.7,9.35,8.95,0,0,CATALOG24,36         ,11,9.25,8.9,8.5,0,0,07/21/2025,Confirmed,Main Product,LWB
LWB061,Polar Camel 12 oz. Navy Blue Water Bottle,24,11.55,9.7,9.35,8.95,0,0,CATALOG24,36         ,11,9.25,8.9,8.5,0,0,07/21/2025,Confirmed,Main Product,LWB
LWB062,Polar Camel 12 oz. Orange Water Bottle,24,11.55,9.7,9.35,8.95,0,0,CATALOG24,36         ,11,9.25,8.9,8.5,0,0,07/21/2025,Confirmed,Main Product,LWB
