SKU,NAME,CASE QTY,PRICE EACH,PRICE BREAK 1,PRICE BREAK 2,PRICE BREAK 3,PRICE BREAK 4,PRICE BREAK 5,CATALOG,PAGES,PREVIOUS PRICE,PREVIOUS PRICE BREAK 1,PREVIOUS PRICE BREAK 2,PREVIOUS PRICE BREAK 3,PREVIOUS PRICE BREAK 4,PREVIOUS PRICE BREAK 5,LAST PRICE CHANGE DATE,Verification_Status,Product_Category,Related_SKU_Prefix
2142,"5"" Globe with Blue and White Sea Anemone Design on Black Glass Base with Black Laserable Aluminum Plate",1,30,30,0,0,0,0,AWARDS25,263        ,24,24,0,0,0,0,08/25/2025,Confirmed,Accessory,
2285,"8"" Black and Red Helix Teardrop on Clear Glass Base with Black Laserable Aluminum Plate",1,37.5,37.5,0,0,0,0,AWARDS25,264        ,30,30,0,0,0,0,08/25/2025,Confirmed,Accessory,
BRS125,Lazerburst Beer Set with Two 14 oz. Mugs and One Rawhide Laserable Leatherette Bottle Opener,4,14.9,12.45,11.8,11.2,0,0,CATALOG24,0          ,14.35,11.95,11.35,10.75,0,0,07/21/2025,Confirmed,Accessory,BRS
GFT1151,Light Brown Laserable Leatherette Wine Bottle Opener,12,5.25,4.25,4.05,3.85,0,0,CATALOG24,109        ,5.05,4.1,3.9,3.7,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1152,Dark Brown Laserable Leatherette Wine Bottle Opener,12,5.25,4.25,4.05,3.85,0,0,CATALOG24,109        ,5.05,4.1,3.9,3.7,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1153,Black/Gold Laserable Leatherette Wine Bottle Opener,12,5.25,4.25,4.05,3.85,0,0,CATALOG24,109        ,5.05,4.1,3.9,3.7,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1154,Rawhide Laserable Leatherette Wine Bottle Opener,12,5.25,4.25,4.05,3.85,0,0,CATALOG24,109        ,5.05,4.1,3.9,3.7,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1155,Gray Laserable Leatherette Wine Bottle Opener,12,5.25,4.25,4.05,3.85,0,0,CATALOG24,109        ,5.05,4.1,3.9,3.7,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1156,Pink Laserable Leatherette Wine Bottle Opener,12,5.25,4.25,4.05,3.85,0,0,CATALOG24,109        ,5.05,4.1,3.9,3.7,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1157,Rose Laserable Leatherette Wine Bottle Opener,12,5.25,4.25,4.05,3.85,0,0,CATALOG24,109        ,5.05,4.1,3.9,3.7,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1158,Black/Silver Laserable Leatherette Wine Bottle Opener,12,5.25,4.25,4.05,3.85,0,0,CATALOG24,109        ,5.05,4.1,3.9,3.7,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1159,Rustic/Gold Laserable Leatherette Wine Bottle Opener,12,5.25,4.25,4.05,3.85,0,0,CATALOG24,109        ,5.05,4.1,3.9,3.7,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1160,Blue/Silver Laserable Leatherette Wine Bottle Opener,12,5.25,4.25,4.05,3.85,0,0,CATALOG24,109        ,5.05,4.1,3.9,3.7,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1161,Teal Laserable Leatherette Wine Bottle Opener,12,5.25,4.25,4.05,3.85,0,0,CATALOG24,109        ,5.05,4.1,3.9,3.7,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1163,Bamboo Laserable Leatherette Wine Bottle Opener,12,5.25,4.25,4.05,3.85,0,0,CATALOG24,109        ,5.05,4.1,3.9,3.7,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1164,Red Laserable Leatherette Wine Bottle Opener,12,5.25,4.25,4.05,3.85,0,0,CATALOG24,109        ,5.05,4.1,3.9,3.7,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT1165,White Laserable Leatherette Wine Bottle Opener,12,5.25,4.25,4.05,3.85,0,0,CATALOG24,109        ,5.05,4.1,3.9,3.7,0,0,07/21/2025,Confirmed,Accessory,GFT
GFT217,Dark Brown Laserable Leatherette Wine Bag,10,7.8,6.45,6.15,5.7,0,0,CATALOG24,125        ,7.5,6.2,5.9,5.5,0,0,07/21/2025,Confirmed,Main Product,GFT
GFT256A,Black/Gold Laserable Leatherette Wine Bag,10,7.8,6.45,6.15,5.7,0,0,CATALOG24,125        ,7.5,6.2,5.9,5.5,0,0,07/21/2025,Confirmed,Main Product,GFT
GFT277,Rawhide Laserable Leatherette Wine Bag,10,7.8,6.45,6.15,5.7,0,0,CATALOG24,125        ,7.5,6.2,5.9,5.5,0,0,07/21/2025,Confirmed,Main Product,GFT
GFT399,Pink Laserable Leatherette Wine Bag,10,5.95,4.9,4.65,4.4,0,0,CATALOG24,125        ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,GFT
GFT617,Black/Silver Laserable Leatherette Wine Bag,10,7.8,6.45,6.15,5.7,0,0,CATALOG24,125        ,7.5,6.2,5.9,5.5,0,0,07/21/2025,Confirmed,Main Product,GFT
GFT716,Rustic/Gold Laserable Leatherette Wine Bag,10,7.8,6.45,6.15,5.7,0,0,CATALOG24,125        ,7.5,6.2,5.9,5.5,0,0,07/21/2025,Confirmed,Main Product,GFT
GFT812,Teal Laserable Leatherette Wine Bag,10,7.8,6.45,6.15,5.7,0,0,CATALOG24,125        ,7.5,6.2,5.9,5.5,0,0,07/21/2025,Confirmed,Main Product,GFT
