SKU,NAME,CASE QTY,PRICE EACH,PRICE BREAK 1,PRICE BREAK 2,PRICE BREAK 3,PRICE BREAK 4,PRICE BREAK 5,CATALOG,PAGES,PREVIOUS PRICE,PREVIOUS PRICE BREAK 1,PREVIOUS PRICE BREAK 2,PREVIOUS PRICE BREAK 3,PREVIOUS PRICE BREAK 4,PREVIOUS PRICE BREAK 5,LAST PRICE CHANGE DATE,Verification_Status,Product_Category,Related_SKU_Prefix
GBX24,"3 1/2"" x 3 1/2"" Black/Gold Medal Box with Laserable Leatherette Lid",12,3.7,2.85,2.75,2.6,0,0,AWARDS25,552        ,3.55,2.75,2.65,2.5,0,0,07/21/2025,Confirmed,Main Product,GBX
GBX25,"3 1/2"" x 3 1/2"" Gray Medal Box with Laserable Leatherette Lid",12,3.7,2.85,2.75,2.6,0,0,AWARDS25,552        ,3.55,2.75,2.65,2.5,0,0,07/21/2025,Confirmed,Main Product,GBX
GBX26,"3 1/2"" x 3 1/2"" Black/Silver Medal Box with Laserable Leatherette Lid",12,3.7,2.85,2.75,2.6,0,0,AWARDS25,552        ,3.55,2.75,2.65,2.5,0,0,07/21/2025,Confirmed,Main Product,GBX
GBX27,"3 1/2"" x 3 1/2"" Blue/Silver Medal Box with Laserable Leatherette Lid",12,3.7,2.85,2.75,2.6,0,0,AWARDS25,552        ,3.55,2.75,2.65,2.5,0,0,07/21/2025,Confirmed,Main Product,GBX
GBX34,"4"" x 4"" Black/Gold Medal Box with Laserable Leatherette Lid",12,4,3.15,3.05,2.9,0,0,AWARDS25,552        ,3.85,3.05,2.95,2.8,0,0,07/21/2025,Confirmed,Main Product,GBX
GBX35,"4"" x 4"" Gray Medal Box with Laserable Leatherette Lid",12,4,3.15,3.05,2.9,0,0,AWARDS25,552        ,3.85,3.05,2.95,2.8,0,0,07/21/2025,Confirmed,Main Product,GBX
GBX36,"4"" x 4"" Black/Silver Medal Box with Laserable Leatherette Lid",12,4,3.15,3.05,2.9,0,0,AWARDS25,552        ,3.85,3.05,2.95,2.8,0,0,07/21/2025,Confirmed,Main Product,GBX
GBX37,"4"" x 4"" Blue/Silver Medal Box with Laserable Leatherette Lid",12,4,3.15,3.05,2.9,0,0,AWARDS25,552        ,3.85,3.05,2.95,2.8,0,0,07/21/2025,Confirmed,Main Product,GBX
GBX41,"7 3/8"" x 5 3/4"" Black/Gold Gift Box with Laserable Leatherette Lid",4,5.4,4.4,4.25,4.05,0,0,CATALOG24,263        ,5.2,4.25,4.1,3.9,0,0,07/21/2025,Confirmed,Main Product,GBX
GBX42,"7 3/8"" x 5 3/4"" Gray Gift Box with Laserable Leatherette Lid",4,5.4,4.4,4.25,4.05,0,0,CATALOG24,263        ,5.2,4.25,4.1,3.9,0,0,07/21/2025,Confirmed,Main Product,GBX
GBX43,"7 3 8"" x 5 3/4"" Black/Silver Gift Box with Laserable Leatherette Lid",4,5.4,4.4,4.25,4.05,0,0,CATALOG24,263        ,5.2,4.25,4.1,3.9,0,0,07/21/2025,Confirmed,Main Product,GBX
GBX44,"7 3/8"" x 5 3/4"" Blue/Silver Gift Box with Laserable Leatherette Lid",4,5.4,4.4,4.25,4.05,0,0,CATALOG24,263        ,5.2,4.25,4.1,3.9,0,0,07/21/2025,Confirmed,Main Product,GBX
GBX51,"9 7/8"" x 7 1/8"" Black/Gold Gift Box with Laserable Leatherette Lid",4,9.15,7.6,7.3,6.9,0,0,CATALOG24,263        ,8.8,7.3,7,6.65,0,0,07/21/2025,Confirmed,Main Product,GBX
GBX52,"9 7/8"" x 7 1/8"" Gray Gift Box with Laserable Leatherette Lid",4,9.15,7.6,7.3,6.9,0,0,CATALOG24,263        ,8.8,7.3,7,6.65,0,0,07/21/2025,Confirmed,Main Product,GBX
GBX53,"9 7/8 x 7 1/8"" Black/Silver Gift Box with Laserable Leatherette Lid",4,9.15,7.6,7.3,6.9,0,0,CATALOG24,263        ,8.8,7.3,7,6.65,0,0,07/21/2025,Confirmed,Main Product,GBX
GBX54,"9 7/8"" x 7 1/8"" Blue/Silver Gift Box with Laserable Leatherette Lid",4,9.15,7.6,7.3,6.9,0,0,CATALOG24,263        ,8.8,7.3,7,6.65,0,0,07/21/2025,Confirmed,Main Product,GBX
GBX61,"12"" x 8"" Black/Gold Gift Box with Laserable Leatherette Lid",4,10.65,8.95,8.55,8.1,0,0,CATALOG24,263        ,10.25,8.6,8.2,7.8,0,0,07/21/2025,Confirmed,Main Product,GBX
GBX62,"11 3/4"" x 7 3/4"" Gray Gift Box with Laserable Leatherette Lid",4,10.65,8.95,8.55,8.1,0,0,CATALOG24,263        ,10.25,8.6,8.2,7.8,0,0,07/21/2025,Confirmed,Main Product,GBX
GBX63,"11 3/4"" x 7 3/4"" Black/Silver Gift Box with Laserable Leatherette Lid",4,10.65,8.95,8.55,8.1,0,0,CATALOG24,263        ,10.25,8.6,8.2,7.8,0,0,07/21/2025,Confirmed,Main Product,GBX
GBX64,"11 3/4"" x 7 3/4"" Blue/Silver Gift Box with Laserable Leatherette Lid",4,10.65,8.95,8.55,8.1,0,0,CATALOG24,263        ,10.25,8.6,8.2,7.8,0,0,07/21/2025,Confirmed,Main Product,GBX
P1681,"7"" x 9"" Solid American Walnut Plaque with Finely Detailed Eagle Relief and Black Laserable Brass Plate",1,37,37,0,0,0,0,CATALOG24,0          ,37,37,0,0,0,0,08/25/2025,Confirmed,Main Product,P
P1682,"9"" x 12"" Solid American Walnut Plaque with Finely Detailed Eagle Relief Casting and Black Laserable Brass Plate",1,58,58,0,0,0,0,CATALOG24,0          ,58,58,0,0,0,0,08/25/2025,Confirmed,Main Product,P
P1682E,Solid American Walnut Plaque with Finely Detailed Eagle Relief Casting and Black Laserable Brass Plate,1,87,87,0,0,0,0,CATALOG24,0          ,87,87,0,0,0,0,08/25/2025,Confirmed,Main Product,P
P2394,"8"" x 10 1/2"" Solid American Walnut Plaque with Finely Detailed Eagle with American Flag Relief and Black Laserable Brass Plate",1,39,39,0,0,0,0,CATALOG24,0          ,39,39,0,0,0,0,08/25/2025,Confirmed,Main Product,P
P2394E,Solid American Walnut Plaque with Finely Detailed Eagle with American Flag Relief and Black Laserable Brass Plate,1,58.5,58.5,0,0,0,0,CATALOG24,0          ,58.5,58.5,0,0,0,0,08/25/2025,Confirmed,Main Product,P
PG2782,"9"" x 12"" Solid Walnut Plaque with a Walnut Gavel, Gold Gavel Band and Black Laserable Brass Plate",1,53.5,53.5,0,0,0,0,CATALOG24,0          ,51,51,0,0,0,0,08/25/2025,Confirmed,Main Product,PG
PG2786,"9"" x 12"" Solid Walnut Plaque with a Walnut Gavel, Gold Gavel Band, Black Laserable Brass Plate and a Walnut Half Sounding Block",1,63,63,0,0,0,0,CATALOG24,0          ,60,60,0,0,0,0,08/25/2025,Confirmed,Main Product,PG
RSF150,Laserable Leatherette Shot Glass Fixture-Holds 10,0,75,75,0,0,0,0,AWARDS25,469        ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,RSF
RSF205,12 oz. LPC112 Fixture for 12 oz. Laserable Plastic Cup- Holds 6,1,75,75,0,0,0,0,AWARDS25,468        ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,RSF
RSF206,16 oz. LPC116 Fixture for 16 oz. Laserable Plastic Cup- Holds 5,1,75,75,0,0,0,0,AWARDS25,468        ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,RSF
RSF207,24 oz. LPC124 Fixture for 24 oz. Laserable Plastic Cup- Holds 5,1,75,75,0,0,0,0,AWARDS25,468        ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,RSF
URN01,"3 1/4"" Red Alder Pet Urn with Laserable Lid",4,29.7,26.5,25.45,24.4,0,0,GIFTDRINK25,284        ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,URN
URN11,"4 1/2"" Red Alder Pet Urn with Laserable Lid",4,38.95,35.5,34.2,32.85,0,0,CATALOG24,270        ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,URN
WBX73A,Black/Gold Laserable Leatherette Single Wine Box with Tools,2,18.3,15.65,15,14.35,0,0,CATALOG24,105        ,17.6,15.05,14.4,13.8,0,0,07/21/2025,Confirmed,Main Product,WBX
WBX74,Rawhide Laserable Leatherette Single Wine Box with Tools,2,18.3,15.65,15,14.35,0,0,CATALOG24,105        ,17.6,15.05,14.4,13.8,0,0,07/21/2025,Confirmed,Main Product,WBX
WBX75,Gray Laserable Leatherette Single Wine Box with Tools,2,18.3,15.65,15,14.35,0,0,CATALOG24,105        ,17.6,15.05,14.4,13.8,0,0,07/21/2025,Confirmed,Main Product,WBX
WBX79,Black/Silver Laserable Leatherette Single Wine Box with Tools,2,18.3,15.65,15,14.35,0,0,CATALOG24,105        ,17.6,15.05,14.4,13.8,0,0,07/21/2025,Confirmed,Main Product,WBX
WTL15,Gray Laserable Leatherette 2-Piece Wine Tool Set,6,5.15,4.25,4.05,3.8,0,0,Coming Soon,0,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,WTL
WTL31,Light Brown Laserable Leatherette 3-Piece Wine Tool Gift Set,6,16.75,14.1,13.4,12.8,0,0,CATALOG24,105        ,16.1,13.55,12.9,12.3,0,0,07/21/2025,Confirmed,Main Product,WTL
WTL32,Dark Brown Laserable Leatherette 3-Piece Wine Tool Gift Set,6,16.75,14.1,13.4,12.8,0,0,CATALOG24,105        ,16.1,13.55,12.9,12.3,0,0,07/21/2025,Confirmed,Main Product,WTL
WTL34,Rawhide Laserable Leatherette 3-Piece Wine Tool Gift Set,6,16.75,14.1,13.4,12.8,0,0,CATALOG24,105        ,16.1,13.55,12.9,12.3,0,0,07/21/2025,Confirmed,Main Product,WTL
WTL38,Pink Laserable Leatherette 3-Piece Wine Tool Gift Set,6,4.25,3.95,3.95,3.95,0,0,CATALOG24,0          ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,WTL
WTL40,Rustic/Gold Laserable Leatherette 3-Piece Wine Tool Gift Set,6,16.75,14.1,13.4,12.8,0,0,CATALOG24,105        ,16.1,13.55,12.9,12.3,0,0,07/21/2025,Confirmed,Main Product,WTL
WTL71,Light Brown Laserable Leatherette 5-Piece Wine Tool Gift Set,6,22.5,20.5,19.5,18.5,0,0,CATALOG24,106        ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,WTL
WTL72,Dark Brown Laserable Leatherette 5-Piece Wine Tool Gift Set,6,22.5,20.5,19.5,18.5,0,0,CATALOG24,106        ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,WTL
WTL73,Black/Gold Laserable Leatherette 5-Piece Wine Tool Gift Set,6,8.95,8.5,8.5,8.5,0,0,CATALOG24,0          ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,WTL
WTL74,Rawhide Laserable Leatherette 5-Piece Wine Tool Gift Set,6,22.5,20.5,19.5,18.5,0,0,CATALOG24,106        ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,WTL
WTL75,Gray Laserable Leatherette 5-Piece Wine Tool Gift Set,6,22.5,20.5,19.5,18.5,0,0,CATALOG24,106        ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,WTL
WTL78,Pink Laserable Leatherette 5-Piece Wine Tool Gift Set,6,8.25,7.95,7.95,7.95,0,0,CATALOG24,0          ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,WTL
