SKU,NAME,CASE QTY,PRICE EACH,PRICE BREAK 1,PRICE BREAK 2,PRICE BREAK 3,PRICE BREAK 4,PRICE BREAK 5,CATALOG,PAGES,PREVIOUS PRICE,PREVIOUS PRICE BREAK 1,PREVIOUS PRICE BREAK 2,PREVIOUS PRICE BREAK 3,PREVIOUS PRICE BREAK 4,PREVIOUS PRICE BREAK 5,LAST PRICE CHANGE DATE,Verification_Status,Product_Category,Related_SKU_Prefix
PCG100,Polar Camel 1.7 oz. Shot Glass,72,0.87,0.87,0.84,0.81,0,0,CATALOG24,19         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,PCG
PCG101,Polar Camel 2 1/4 oz. Square Shot Glass,72,1.13,1.13,1.08,1.03,0,0,CATALOG24,19         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,PCG
PCG105,Polar Camel 9 oz. Stemless Wine Glass,12,1.02,1.02,0.98,0.95,0,0,CATALOG24,17         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,PCG
PCG106,Polar Camel 15 oz. Stemless Wine Glass,12,1.14,1.14,1.1,1.06,0,0,CATALOG24,17         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,PCG
PCG107,Polar Camel 21 oz. Stemless Wine Glass,12,1.33,1.33,1.28,1.23,0,0,CATALOG24,17         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,PCG
PCG115,Polar Camel 10 1/2 oz. On The Rocks Glass,36,1.33,1.33,1.28,1.23,0,0,CATALOG24,16         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,PCG
PCG116,Polar Camel 13 3/4 oz. Round Double Old Fashioned,36,1.39,1.39,1.34,1.29,0,0,CATALOG24,16         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,PCG
PCG117,Polar Camel 10 oz. On The Rocks Glass,36,1.39,1.39,1.34,1.29,0,0,CATALOG24,16         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,PCG
PCG118,Polar Camel 10 1/2 oz. Square On The Rocks Glass,36,1.48,1.48,1.42,1.37,0,0,CATALOG24,16         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,PCG
PCG119,Polar Camel 12 oz. Square Double Old Fashioned,36,1.63,1.63,1.57,1.51,0,0,CATALOG24,16         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,PCG
PCG125,Polar Camel 16 oz. Can Glass,36,1.31,1.31,1.25,1.2,0,0,CATALOG24,19         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,PCG
PCG200,Polar Camel 16 oz. Pint Mixing Glass,24,1.36,1.36,1.3,1.25,0,0,CATALOG24,20         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,PCG
PCG205,Polar Camel 16 oz. Pilsner Glass,36,2.5,2.5,2.4,2.3,0,0,CATALOG24,20         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,PCG
PCG211,Polar Camel 25 oz. Beer Mug with Handle,12,5.35,5.35,5.15,4.95,0,0,CATALOG24,20         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,PCG
PCG212,Polar Camel 14 oz. Beer Mug with Handle,12,4.2,4.2,4.05,3.9,0,0,CATALOG24,20         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,PCG
PCG213,Polar Camel 20 oz. Beer Mug with Handle & Round Engraving Area,24,3.4,3.4,3.2,3.05,0,0,CATALOG24,20         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,PCG
PCG215,Polar Camel 16 oz. Willi Becher Beer Glass,12,1.93,1.93,1.86,1.79,0,0,CATALOG24,20         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,PCG
